Continent,Region,Countries,ID,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,Africa,Africa,,80.56,82.25,85.1,88.12,89.75,90.84,91.39,91.9,91,87.68,84.26,81.73,80.38,78.92,76.82,73.72,70.27,67.29,64.92,63.06,61.49,59.87,58.22,56.81,55.8,55.26,55.05,54.95,54.95,55.13,55.55
Africa,Eastern Africa,Eastern Africa,,85.17,87.13,89.51,91.83,93.9,95.85,96.92,97.87,97.76,95.27,94.53,92.91,90.85,86.29,81.54,76.74,72.3,68.37,65.18,62.59,60.5,58.71,57.32,56.46,56.02,55.92,56,56.27,56.71,57.34,58.2
Africa,Middle Africa,Middle Africa,,81.78,81.8,82.89,85.12,87.54,90.11,92.13,93.98,96.01,97.4,96.94,95.87,93.44,90.22,86.1,81.51,77.09,72.79,68.73,65.02,61.86,59.15,56.94,55.1,53.78,52.87,52.31,52.02,52.04,52.35,52.93
Africa,Northern Africa,Northern Africa,,76.15,80.58,87.95,93.55,93.56,91.13,88.33,85.81,82.62,76.52,68.06,60.67,57.34,57.16,57.53,55.96,53.22,51.46,50.83,51.76,53.88,55.62,56.07,55.71,55.46,56.64,58.97,60.96,62.28,63.08,63.76
Africa,Southern Africa,Southern Africa,,73.83,78.33,82.2,85.39,84.8,83.7,82.56,79.6,75.06,67.39,59.78,56.57,55.39,55.09,54.47,52.12,50.07,47.94,46.6,46.18,47,48.22,49.13,49.7,50.91,53.09,55.1,57.04,58.71,60.25,61.82
Africa,Western Africa,Western Africa,,80.54,79.97,80.34,82.27,84.75,87.55,90.01,92.91,92.82,90.24,87.84,87.22,87.41,87.13,85.19,82.21,78.54,75.36,72.66,70.04,67.19,64.14,61.21,58.74,56.76,55.23,54.07,53.12,52.41,52.04,52.01
Asia,Asia,Asia,,68.37,72.96,77.24,80.84,80.12,78.58,72.84,66.98,63.86,61.56,56.94,51.02,47.65,46.86,47.51,47.61,48.07,49.55,51.35,52.6,54.71,58.08,60.28,61.27,62.15,63.53,65.48,67.29,68.74,69.95,71.1
Asia,Eastern Asia,Eastern Asia,,64.77,71.33,74.74,76.39,75.06,74.51,65.34,56.13,52.49,51.67,47.55,40.25,37.69,39.94,44.39,46.59,49.38,54.54,60.28,62.55,65.89,73.44,76.78,75.65,73.91,74.03,76.13,77.94,78.57,78.66,78.79
Asia,South-Central Asia,South-Central Asia,,71.03,73.7,78.12,82.94,82.52,80.27,78.29,76.48,74.78,71.14,65.88,60.27,55.74,52.2,49.94,48.46,47.2,46.46,46.12,46.69,48.09,50.11,52.16,54.15,56.12,58,60.08,62.04,63.92,65.63,67.22
Asia,Central Asia,Central Asia,,63.43,61.86,76.34,90.19,90.68,83.35,76.44,73.8,74.03,73.67,66.83,58.28,51.69,50.83,52.37,51.87,49.77,47.54,47.06,48.27,50.38,52.88,53.89,53.16,52.52,54.06,56.55,58.45,59.28,59.4,59.8
Asia,Southern Asia,Southern Asia,,71.31,74.17,78.19,82.64,82.18,80.13,78.37,76.59,74.81,71.04,65.85,60.34,55.89,52.25,49.85,48.33,47.1,46.42,46.09,46.63,48,50.01,52.09,54.18,56.26,58.16,60.22,62.18,64.1,65.89,67.53
Asia,South-Eastern Asia,South-Eastern Asia,,73.77,76.15,82.65,89.37,90.16,86.44,81.12,75.1,68.96,63.98,57.61,53.86,50.76,48.24,47.06,46.79,47.69,49.1,50.76,52.43,54.71,56.45,58.37,59.97,61.86,63.99,65.61,67.06,68.38,69.66,70.94
Asia,Western Asia,Western Asia,,73.06,76.76,82.49,88.01,87.36,86.06,84.25,80.72,78.09,73.19,68.45,62.67,55.94,52.72,50.95,49.5,48,47.34,48.21,50.78,54.25,57.37,59.31,60.52,61.4,62.76,64.69,66.62,68.24,69.61,70.98
Europe,Europe,Europe,,52.21,51.66,55.57,56.2,55.57,54.24,52.97,49.67,49.83,49.85,47.74,46.64,46.51,49.41,53.64,57.11,60.43,63.14,66.2,69.56,73.21,76.07,76.18,74.59,73.51,74.16,75.59,77.09,78.15,78.82,79.56
Europe,Eastern Europe,Eastern Europe,,52.61,50.61,56.81,56.03,51.91,49.23,50.33,49.77,50.91,50.26,45.19,41.99,40.35,43.18,48.88,52.31,53.28,52.6,54.58,59.08,64.76,70.22,70.05,66.37,63.65,63.99,65.67,67.29,67.88,67.67,67.65
Europe,Northern Europe,Northern Europe,,51.7,53.78,54.89,55.21,57.87,58.43,55.76,52.58,53.02,53.97,52.76,50.89,51.41,55.35,58.37,60.55,63.62,66.24,67.52,68.21,70.03,71.81,72.77,72.43,72,73.33,74.95,76.81,78.56,79.9,80.96
Europe,Southern Europe,Southern Europe,,54.26,53.71,55.78,56.1,57.62,58.01,56.23,51.08,48.46,47.3,47.77,48.43,49.28,52.03,54.42,57.3,61.85,68.11,75.57,82.73,86.7,87.27,86.32,84.88,84.41,85.29,86.57,87.37,87.7,88.08,89.01
Europe,Western Europe,Western Europe,,50.34,50.67,53.76,57.08,59.12,58.01,53.61,46.9,47.48,49.14,49.54,50.84,52.05,54.33,57.93,62.43,68.42,73.55,75.52,75.45,76.72,78.14,78.76,79.02,79.19,79.47,80.43,81.87,83.49,84.95,86.23
