Continent,Region,Countries,ID,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Asia,Southern Asia,Afghanistan,afghanistan,82.96,83.98,85.75,87,90.86,93.79,95.86,99.85,102.15,101.05,106.22,105.53,103.12,90.11,75.4,63.81,57.4,53.01,49.14,45.25,41.84,39.6,39.27,41.14,44.18,47.13,48.95,50.46,52.24,54.62,57.29
Europe,Southern Europe,Albania,albania,80.97,83.26,88.89,94.09,89.28,81.94,75.93,69.74,64.07,61.95,59.14,54,49.1,44.4,46.05,52.48,57.8,61,61.4,60.03,60.41,66.27,77.56,88.14,90.65,87.82,85.6,85.83,88.62,92.85,94.63
Africa,Northern Africa,Algeria,algeria,79.06,86.82,93.71,105.02,101.45,99.91,98.18,95.96,88.82,77.06,61.51,49.89,46.74,49.38,54.22,52.24,47.3,44.38,44.25,47.12,52.48,56.66,57.4,54.78,51.82,53.51,58.59,63.15,65.63,65.73,64.82
Africa,Middle Africa,Angola,angola,79.41,81.95,86.61,92.62,95.01,95.83,96.76,98.24,100.27,100.52,100.42,100.94,100.92,97.61,92.43,86.46,81.85,77.12,72.14,67.33,63.09,59.64,56.89,54.74,53.24,52.31,51.61,51.32,51.46,51.99,52.83
Latin America And The Caribbean,South America,Argentina,argentina,53.22,55.34,57.1,57.38,57.14,58.35,63.11,65.5,65.99,63.11,60.94,57.62,55.03,53.99,54.19,53.93,53.47,53.22,54.22,57.25,59.72,62.3,64.89,66.98,68.43,70.25,72.33,74.36,76.14,77.69,79.13
Asia,Western Asia,Armenia,armenia,71.24,66.71,81.18,89.2,80.99,67.09,57.17,55.17,56.23,60.92,55.9,50.38,45.06,44.23,46.05,47.79,50.21,50.47,51.25,54.71,61.06,69.92,74.96,74.97,75.37,79.01,81.11,81.53,80.18,78.41,77.46
Oceania,Oceania,Australia,australia,53.3,59.87,63.36,61.85,59.41,56.82,53.55,51.13,49.54,50.19,49.55,48.55,47.91,51.84,55.84,58.98,61.07,62.08,63.46,64.44,66.59,68.52,69.23,69.38,69.68,71.09,73.43,75.86,78.1,80.08,82.1
Europe,Western Europe,Austria,austria,49.24,51.58,51.29,57.47,62.63,61.6,55.95,47.48,48.23,49.34,48.25,47.25,48.33,49.45,52.14,57.24,64.09,70.06,72.19,72.34,74.16,75.36,76.85,76.82,76.13,75.8,76.58,78.18,80.24,82.18,83.79
Asia,Western Asia,Azerbaijan,azerbaijan,64.54,62.57,81.87,99.73,99.2,83.88,66.3,60.14,62.22,62.94,57.9,48,40.09,38.53,41.09,43.32,44.26,44.35,45.25,47.27,51.42,56.93,61.15,61.89,60.96,61.93,65.42,68,68.91,68.86,69.12
Asia,Southern Asia,Bangladesh,bangladesh,82.34,83.6,86.59,90.87,92.86,92.66,92.3,89.39,84.5,77.54,69.59,62.86,56.92,51.11,46.57,44.55,43.76,43.83,44.55,46.83,50.37,54.56,59.3,64.35,69.08,72.57,75.99,79.04,81.53,83.23,84.23
Europe,Eastern Europe,Belarus,belarus,53.86,51.59,59.29,63.55,61.29,55.12,50.66,48.89,50.88,52.01,47.21,43.28,40.43,42.03,45.85,49.62,51.84,51.89,53.27,56.38,61.65,66.91,67.15,63.56,61.02,62.16,64.4,66.23,66.71,66.11,65.72
Europe,Western Europe,Belgium,belgium,46.92,50.69,55.92,58.05,58.69,56.61,52.58,47.82,49.5,51.5,52.63,52.31,51.38,55.71,59.34,63.2,67.34,70.57,72.48,73.82,75.12,75.45,75.55,74.35,74.02,75.44,77.12,78.7,79.87,80.63,81.54
Latin America And The Caribbean,Central America,Belize,belize,73.02,89.47,97.73,105.54,105.8,109.23,104.26,95.93,90.81,89.33,80.16,72.45,64.89,58.55,54.11,51.25,49.74,49.29,49.71,50.82,52.96,55.31,57.85,60.79,63.83,66.84,70.11,73.44,76.71,79.84,82.79
Africa,Western Africa,Benin,benin,75.49,75.89,77.16,82.62,88.17,92.74,95.46,96.83,97.34,94.08,93.57,89.85,86.22,81.98,77.04,72.39,68.5,65.07,61.88,58.95,56.41,54.37,52.85,51.75,51.03,50.52,50.16,49.97,49.98,50.14,50.48
Asia,Southern Asia,Bhutan,bhutan,86.47,78.79,77.73,77.9,81.22,80.47,82.57,86.48,87.07,89.62,79.87,61.46,52.13,47.2,44.58,43.17,41.2,40.73,41.22,44.43,50.09,56.18,61.36,65.17,67.88,70.25,73.17,76.04,78.4,80.09,81.22
Latin America And The Caribbean,South America,Bolivia (Plurinational State of),bolivia,81.46,82.79,85.5,86.23,86.67,87.07,85.71,83.37,80.79,80.82,78.55,74.65,68.73,64.45,61.03,59.06,57.09,55.15,53.69,52.37,51.68,51.76,52.65,53.41,54.29,54.84,55.63,56.73,58.06,59.52,61.03
Europe,Southern Europe,Bosnia and Herzegovina,bosnia,71.85,69.93,77,76.02,65.56,57.83,50.69,45.1,43.74,41.99,44.65,47.14,48.08,44.15,44.74,50,56.93,61.09,61.75,62.07,65.72,72.57,80.01,87.49,89.99,85.72,82.8,82.5,83.8,85.22,85.24
Africa,Southern Africa,Botswana,botswana,82.6,87.27,98.26,107.77,104.6,99.74,96.21,95.32,90.3,79.95,70.26,63.85,60.61,58.3,57.42,55.07,51.09,46.43,42.79,41.62,42.77,44.95,47.08,48.9,50.41,52.41,54.66,56.96,59.02,60.76,62.17
Latin America And The Caribbean,South America,Brazil,brazil,80.29,82.36,87.11,89.41,85.39,79.37,73.17,69.94,65.97,60,54.05,50.92,47.93,45.23,43.76,45.03,47.35,49.53,51.95,55.64,60.66,65.09,68.76,73.28,77.86,80.02,81.87,83.46,84.92,86.09,86.92
Asia,South-Eastern Asia,Brunei Darussalam,brunei,70.39,78.59,90.3,100.25,87.2,77.48,70.79,68.08,59.13,55.37,49.68,47.2,43.38,41.49,40.45,42.69,46.86,52.8,58.33,61.35,61.51,63.26,66.11,69.01,73.58,77.02,79.39,81.18,83.01,85.03,87
Europe,Eastern Europe,Bulgaria,bulgaria,50.4,51,50.51,48.38,48.06,49.62,51.58,49.23,50.33,49.27,47.61,45.09,46.32,51.26,55.45,57.77,58.34,60.12,64.78,70.93,76.69,81.81,80.26,75.63,72.41,72.33,73.71,74.76,74.56,73.42,72.65
Africa,Western Africa,Burkina Faso,burkina-faso,74.61,75.82,77.47,81,85.41,89.44,95.15,99.93,102.17,100.67,98.16,96.32,94.09,90.23,85.34,80.3,75.87,71.97,68.29,65.01,62.04,59.36,57.12,55.45,54.25,53.45,52.85,52.53,52.51,52.79,53.34
Africa,Eastern Africa,Burundi,burundi,78.97,83.06,86.88,92.27,93.53,94.36,90.94,96.05,103.33,109.34,107.77,92.86,86.77,89.76,92.09,88.31,81,74.9,71.58,70.42,69.19,66.59,63.04,59.78,57.87,57.24,56.93,56.4,55.65,55.14,55.27
Asia,South-Eastern Asia,Cambodia,cambodia,81.57,87.69,93.38,97.31,92.81,87.89,77.52,83.37,90.19,99.75,80.57,67.93,58.39,57.93,59.02,57.72,55.28,53.51,53.13,51.63,58.74,60.87,64.5,65.17,66,68.04,71.59,74.68,77.06,78.37,79.88
Africa,Middle Africa,Cameroon,cameroon,75.78,76.24,77.35,80.28,84.67,89.65,93.63,97.32,99.23,98.54,94.8,90.94,87.47,84.26,80.05,75.25,70.7,66.74,63.46,60.79,58.82,57.26,55.97,54.89,54.27,54.03,54.02,54.18,54.51,55.04,55.79
Northern America,Northern America,Canada,canada,59.62,66.39,70.66,69.53,61.61,53.01,47.41,46.05,46.92,47.78,46.46,44.47,44.15,48.13,53.65,59.6,65,66.79,67.35,68.18,70.01,71.93,73.17,72.96,72.48,72.96,74.32,76.2,78.1,79.7,81.08
Africa,Middle Africa,Central African Republic,central_x5F_african_x5F_rep,70.34,71.45,74.04,77.89,80.87,84.59,86.49,86.54,89.86,87.96,86.14,84.59,80.31,75.35,71.1,67.69,63.46,59.4,56.24,54.24,53.15,52.5,51.87,51.63,51.72,51.96,52.77,53.97,55.37,56.83,58.4
Africa,Middle Africa,Chad,chad,72.94,77.19,81.01,85.86,86.57,89.71,94.41,99.37,102.88,105.61,107.55,107.94,105.53,101.08,96.15,90.63,84.87,79.12,73.77,68.92,64.73,61.11,58.2,55.86,54.14,52.93,52.14,51.72,51.71,52.1,52.84
Latin America And The Caribbean,South America,Chile,chile,69.41,74.44,79.59,83.46,81.11,73.47,63.02,58.15,56.45,56.93,53.91,49.09,45.61,45.19,46.95,50.57,55.08,58.47,61.29,63.07,66.5,71.52,76.79,79.86,81.71,83.42,85.14,86.75,88.09,89.08,89.89
Asia,Eastern Asia,China,china,63.33,72.22,77.48,81,79.28,78.78,68,57.54,54.03,53.16,48.07,39.24,36.04,38.15,42.72,44.59,47.16,52.26,57.84,59.82,63.04,71.15,74.59,73.1,71.25,71.59,73.96,75.94,76.56,76.56,76.63
Latin America And The Caribbean,South America,Colombia,colombia,85.36,92.23,98.34,100.19,97.1,89.24,80.76,72.87,69.04,64.77,60.18,55.88,52.39,50.64,50.14,50.03,50.84,52.18,52.93,54.49,56.4,58.66,61.36,64.01,66.62,69.46,72.12,74.51,76.59,78.34,79.85
Africa,Middle Africa,Congo,congo,77.22,78.93,81.91,86.07,89.86,92.25,94.27,93.09,90.11,86.05,83.48,84.23,83.93,84.8,82.95,78.66,74.73,72.81,71.37,69.38,66.7,63.82,61.32,59.61,58.52,57.86,57.42,56.84,56.4,56.3,56.51
Latin America And The Caribbean,Central America,Costa Rica,costa_rica,76.4,87.26,98.13,104.81,97.77,85.36,73.38,69.09,68.95,65.51,58.5,51.04,45.81,43.22,43.03,44.86,47.68,50.1,52.18,55.68,60.91,67.61,73.51,78.53,82.66,85.19,87.5,89.24,90.44,91.21,91.77
Africa,Western Africa,Cote d'Ivoire,cote-divoire,83.09,78.39,78.76,82.2,87.22,90.15,92.24,91.76,89.53,84.5,81.8,82.72,81.55,79.08,77.26,75.75,71.74,68.14,65.21,62.95,60.91,59,57.33,56.09,54.91,53.85,53.45,53.13,52.89,52.76,52.83
Europe,Southern Europe,Croatia,croatia,53,51.66,52.91,50.97,48.51,48.09,47.47,45.56,45.97,46.92,48.62,49.36,48.89,50.58,55.2,59.17,62.93,65.33,67.75,71.4,75.5,77.94,79.08,80.7,79.78,80.65,81.01,81.66,82.24,82.71,83.19
Latin America And The Caribbean,Caribbean,Cuba,cuba,68.78,68.22,65.87,72.62,76.8,79.08,65.13,53.88,47.07,46.65,46.02,43.73,42.35,42.01,43.78,47.18,57.3,68.74,79.55,81.81,84.03,90.52,95.22,98.42,101.69,101.83,101.31,100.57,99.82,98.98,97.67
Asia,Western Asia,Cyprus,cyprus,68.06,69.37,74.25,68.98,69.59,59.83,52.3,53.32,54.79,52.69,48.43,44.25,41.52,41.59,43.98,47.22,49.85,51.95,54.55,59,66.34,72.25,78.51,81.94,82.68,83.5,84.6,85.69,86.57,86.7,86.9
Europe,Eastern Europe,Czech Republic,czech-republic,47.59,53.88,53.81,50.75,49.89,53.74,58.9,53.95,52.03,46.71,43.46,40.62,41.99,49.24,55.61,57.12,56.89,57.22,62.07,70.22,74.44,77.01,76.85,72.69,70.15,71.27,73.42,75.35,76.26,76.41,77.03
Asia,Eastern Asia,Dem. People's Republic of Korea,democratic-peoples-repbulic-of-korea,86.89,72.69,69.32,66.51,81.05,75.36,66.27,53.52,45.2,47.47,46.93,47.4,45.87,44.31,41.43,44.94,46.84,51.88,55.92,54.49,55.98,58.11,61.05,63.3,64.91,65.54,67.01,69.14,71.35,73,73.92
Africa,Middle Africa,Democratic Republic of the Congo,democratic-republic-of-the-congo,90.36,87.59,86.22,85.99,87.77,89.36,90.46,91.95,93.93,96.69,97.15,96.25,93.41,90.1,86.13,81.91,77.68,73.38,69.25,65.45,62.23,59.41,57.13,55.11,53.6,52.44,51.68,51.2,51.03,51.12,51.47
Europe,Northern Europe,Denmark,denmark,54.61,57.03,55.8,54.31,55.24,56.24,54.46,50.43,48.48,48.45,50.01,51.25,52.96,56.13,58.44,61.12,65.28,68.65,70,69.13,67.23,67.18,68.85,70.46,71.41,72.11,72.48,73.29,74.85,76.8,78.54
Africa,Eastern Africa,Djibouti,djibouti,95.24,87.73,84.07,84.03,91.62,97.62,95.54,90.25,90.65,85.98,79.9,68.37,60.86,60.54,59.93,57.57,54.21,51.24,50,51.03,51.77,53.63,54.33,53.46,53.27,54.68,57.03,59.24,60.72,61.55,62.48
Latin America And The Caribbean,Caribbean,Dominican Republic,dominican_x5F_repbulic,93.25,95.73,103.06,106.17,101.36,92.63,83.91,77.82,73.67,70.85,66.9,63.21,59.18,56.69,54.85,53.71,53.32,53.4,53.77,54.42,55.87,57.83,60.39,62.79,65.77,69.01,72.12,74.9,77.35,79.41,81.11
Latin America And The Caribbean,South America,Ecuador,ecauador,81.11,87.14,92.56,96.06,93.46,89.7,84.87,78.82,73.87,69.41,65.67,62.03,59.04,56.51,54.96,54.04,53.7,54.05,54.79,55.81,57.08,59.02,61.02,63.24,65.83,68.45,71.07,73.63,76.12,78.49,80.66
Africa,Northern Africa,Egypt,egypt,73.46,76.76,83.91,85.06,85.77,82.99,81.23,79.72,79.53,75.25,68.8,61.22,58.75,58.19,57.01,54.66,52.25,50.48,49.41,49.92,51.77,53.76,54.42,55.21,56.43,58.82,61.5,63.87,65.78,67.62,69.73
Latin America And The Caribbean,Central America,El Salvador,el_salvador,87.55,90.01,95.59,99.68,100.3,97.94,96.3,93.22,86.06,80.24,78.03,72.07,63.82,56.64,55.06,53.87,52.31,50.74,49.96,50.67,52.93,57.29,63.76,70.39,72.92,75.03,77.65,80.24,81.84,82.19,81.81
Africa,Middle Africa,Equatorial Guinea,equatorial_x5F_guinea,66.27,69.57,72.59,75.86,76.31,100.74,98.87,65.58,72.88,84.93,86.15,78.1,73.09,70.35,69.97,69.28,67.59,64.62,60.54,56.29,53.5,52.12,51.15,50.41,50.13,50.63,51.73,53.2,54.85,56.6,58.43
Africa,Eastern Africa,Eritrea,eritrea,94.07,92.67,90.61,86.96,88.41,89.9,91.96,91.42,92.84,104.94,95.46,83.41,82.28,83,79.23,72.26,65.06,59.93,57.1,55.79,54.74,53.18,51.22,49.68,49.68,50.77,52.34,53.83,55.15,56.63,58.58
Europe,Northern Europe,Estonia,estonia,56.66,51.68,50.71,50.97,51.07,51.5,51.84,50.46,51.17,52.02,49.57,47.34,48.99,52.83,56.47,58.37,59.39,60.31,62.38,65.87,70.53,75.25,74.45,70.98,69.06,70.29,71.57,73.26,74.02,73.48,72.89
Africa,Eastern Africa,Ethiopia,ethiopia,89.01,87.39,85.53,85.16,87.56,91.04,93.35,96.61,97.81,98.73,98.65,97.3,91.33,81.54,73.24,67.26,61.94,57.31,53.64,50.72,48.97,47.94,48.29,49.78,51.61,53.35,55.26,57.46,59.82,62.2,64.54
Europe,Northern Europe,Finland,finland,57.22,60.25,60.55,54.31,51.01,48.43,47.68,46.83,48.6,49.81,49.41,49.93,50.69,58.37,64.45,68.5,71.36,72.25,70.49,70.9,72.31,73.15,74.81,74.88,74.74,75.71,77.26,79.09,80.79,82.07,83.07
Europe,Western Europe,France,france,51.73,56.2,61.09,60.21,60.38,59.76,57.1,51.69,51.46,53.54,53.75,53.69,54.22,58.29,61.9,65.09,68.49,71.43,73.93,73.16,73.71,74.44,74.82,75.48,76.33,77.43,78.89,80.36,81.78,83.14,84.51
Latin America And The Caribbean,South America,French Guiana,french_x5F_guiana,56.75,70.19,81.08,80.94,78.03,76.88,64.45,59.93,62.78,64.2,65.61,64.19,60.6,57.87,57.19,57.94,58.88,59.63,59,57.33,56.26,56.85,58.4,59.9,61.74,63.32,65.22,67.43,69.71,71.79,73.56
Africa,Middle Africa,Gabon,gabon,56.89,58.33,61.58,64.4,68.75,76.46,82.71,87.14,89.95,90.42,86.89,82.3,78.44,76.49,73.35,68.84,63.92,60.48,58.08,56.32,54.89,53.6,52.5,51.69,51.44,51.82,52.68,53.48,54.29,55.25,56.46
Africa,Western Africa,Gambia,gambia,77.85,69.66,69.91,72.66,76.23,84.28,92.51,97.22,95.53,97.34,94.55,94.3,94.17,92.35,90.06,86.95,82.49,78.11,73.46,69.3,65.09,60.87,57.15,54.18,51.9,50.21,49.14,48.47,48.15,48.24,48.69
Asia,Western Asia,Georgia,georgia,58.62,55.82,60.5,65.46,63.55,58.45,53.54,51.16,51.43,54.77,52.49,49.14,46.02,49.67,54.69,57.33,60.32,60.5,62.61,65.64,68.6,72.75,73.96,68.91,65.45,68.24,71.37,73.32,73.77,73.82,74.58
Europe,Western Europe,Germany,germany,49.09,45.91,48.25,54.76,58.37,57.22,51.79,43.69,45.06,46.59,46.94,49.85,52.02,52.42,56.27,61.77,70.23,77.84,79.46,80.22,82.95,85.94,86.71,86.62,85.84,84.96,85.34,86.86,88.68,90.08,90.94
Africa,Western Africa,Ghana,ghana,90.76,88.23,87.69,88.07,92.66,94.57,93.49,90.58,87.21,84.1,80.01,77.23,73.92,70.84,66.83,62.37,58.44,55.9,54.3,53.18,52.16,51.14,50.28,49.5,49.22,49.47,49.83,50.08,50.26,50.57,51.18
Europe,Southern Europe,Greece,greece,54.91,51.33,53.24,52.23,56.28,56.53,56.14,52.89,49.11,47.21,47.14,49.13,50.39,53.64,56.65,58.94,61.75,67.62,74.44,81.88,86.01,85.36,82.76,80.44,79.35,80.97,82.7,83.67,83.95,84.23,85.2
